Quarter,Day,Trips
Q1,Monday,1902
Q1,Tuesday,1675
Q1,Wednesday,2263
Q1,Thursday,2043
Q1,Friday,3259
Q1,Saturday,5786
Q1,Sunday,5515
Q2,Monday,27182
Q2,Tuesday,20636
Q2,Wednesday,22003
Q2,Thursday,23484
Q2,Friday,25364
Q2,Saturday,50854
Q2,Sunday,44759
Q3,Monday,30239
Q3,Tuesday,26690
Q3,Wednesday,32869
Q3,Thursday,29233
Q3,Friday,34080
Q3,Saturday,62860
Q3,Sunday,57646
Q4,Monday,10202
Q4,Tuesday,7797
Q4,Wednesday,6612
Q4,Thursday,6780
Q4,Friday,7089
Q4,Saturday,12796
Q4,Sunday,10960
